                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7963,                 3.1423,                0.93829,                0.00028,                0.00458,                0.00014,                  3e-05,                0.65798,                 1.0156,                0.28343,              0.0033331,              0.0033331,              0.0033331
                      2,                 1.6205,                 2.3064,                0.84052,                0.00086,                0.00662,                0.00044,                0.00013,                0.58361,                0.98339,                0.24906,              0.0066005,              0.0066005,              0.0066005
                      3,                 1.5967,                 2.2828,                0.84947,                0.00086,                0.00662,                0.00044,                0.00013,                0.56204,                0.99617,                0.27591,              0.0098018,              0.0098018,              0.0098018
                      4,                 1.5085,                 2.1606,                0.81077,                0.00086,                0.00662,                0.00044,                0.00013,                0.53586,                 1.0022,                0.27453,               0.009703,               0.009703,               0.009703
                      5,                 1.4114,                 2.0173,                0.77753,                0.00086,                0.00662,                0.00044,                0.00013,                0.53308,                 1.0037,                0.26881,               0.009703,               0.009703,               0.009703
                      6,                 1.3606,                 1.9577,                0.76523,                0.00086,                0.00662,                0.00044,                0.00013,                0.54982,                 1.0064,                0.26659,               0.009604,               0.009604,               0.009604
                      7,                 1.3406,                 1.9328,                0.75793,                0.00086,                0.00662,                0.00044,                0.00013,                0.58826,                 1.0083,                0.26868,               0.009505,               0.009505,               0.009505
                      8,                  1.264,                 1.8311,                0.73047,                0.00086,                0.00662,                0.00044,                0.00013,                0.58966,                 1.0122,                0.26402,               0.009406,               0.009406,               0.009406
                      9,                 1.2505,                 1.8254,                0.73022,                 0.0003,                0.00014,                0.00015,                  8e-05,                0.58535,                 1.0243,                0.26228,               0.009307,               0.009307,               0.009307
                     10,                 1.2364,                 1.8029,                0.72223,                0.00042,                0.00105,                0.00021,                  7e-05,                0.56904,                 1.0533,                0.25366,               0.009208,               0.009208,               0.009208
                     11,                 1.2329,                 1.7942,                0.72439,                0.00035,                0.00197,                0.00018,                  5e-05,                0.57514,                 1.0943,                0.25343,               0.009109,               0.009109,               0.009109
                     12,                 1.1991,                 1.7384,                0.71056,                0.00033,                0.00319,                0.00017,                  6e-05,                0.58441,                 1.1357,                0.25775,                0.00901,                0.00901,                0.00901
                     13,                 1.1983,                  1.743,                0.71122,                0.00029,                0.00428,                0.00015,                  5e-05,                0.60413,                 1.2057,                0.26825,               0.008911,               0.008911,               0.008911
                     14,                  1.175,                 1.7193,                0.69426,                0.00022,                0.00397,                0.00011,                  4e-05,                0.62934,                 1.2537,                 0.2844,               0.008812,               0.008812,               0.008812
                     15,                 1.1835,                 1.7133,                0.70774,                 0.0002,                0.00438,                 0.0001,                  3e-05,                0.64958,                 1.3047,                0.29371,               0.008713,               0.008713,               0.008713
                     16,                 1.1524,                    1.7,                0.69292,                0.00021,                0.00438,                 0.0001,                  3e-05,                0.66318,                 1.3072,                0.30044,               0.008614,               0.008614,               0.008614
                     17,                 1.1613,                 1.7065,                0.69402,                0.00018,                0.00373,                  9e-05,                  2e-05,                0.69993,                 1.2964,                0.31634,               0.008515,               0.008515,               0.008515
                     18,                 1.1483,                 1.6945,                0.68734,                0.00018,                0.00384,                  9e-05,                  2e-05,                 0.7331,                 1.3194,                0.33733,               0.008416,               0.008416,               0.008416
                     19,                 1.1499,                 1.6815,                0.69225,                0.00019,                0.00401,                  9e-05,                  3e-05,                0.75544,                 1.3263,                0.35214,               0.008317,               0.008317,               0.008317
                     20,                  1.144,                 1.6781,                0.68985,                0.00019,                0.00357,                 0.0001,                  3e-05,                0.76767,                 1.3164,                0.36012,               0.008218,               0.008218,               0.008218
                     21,                 1.1409,                 1.6739,                0.68725,                0.00022,                0.00387,                0.00011,                  3e-05,                0.78747,                 1.3204,                0.36987,               0.008119,               0.008119,               0.008119
                     22,                 1.1402,                 1.6712,                0.68989,                 0.0002,                0.00367,                 0.0001,                  3e-05,                0.79519,                 1.3301,                 0.3698,                0.00802,                0.00802,                0.00802
                     23,                 1.1095,                 1.6417,                0.67182,                 0.0002,                0.00336,                 0.0001,                  3e-05,                0.79186,                 1.3211,                0.37064,               0.007921,               0.007921,               0.007921
                     24,                 1.1097,                 1.6432,                0.68284,                0.00022,                0.00353,                0.00011,                  3e-05,                0.79562,                 1.3133,                0.37357,               0.007822,               0.007822,               0.007822
                     25,                 1.1023,                 1.6344,                0.67827,                0.00022,                 0.0038,                0.00011,                  3e-05,                0.80348,                 1.3192,                0.37715,               0.007723,               0.007723,               0.007723
                     26,                 1.1038,                 1.6374,                0.67668,                0.00021,                 0.0034,                0.00011,                  3e-05,                0.81087,                 1.3076,                0.37817,               0.007624,               0.007624,               0.007624
                     27,                 1.1064,                 1.6383,                0.68182,                 0.0002,                0.00326,                 0.0001,                  3e-05,                0.81494,                 1.3096,                0.37858,               0.007525,               0.007525,               0.007525
                     28,                 1.0873,                 1.6095,                0.66964,                0.00018,                0.00312,                  9e-05,                  2e-05,                0.81354,                 1.3385,                0.37644,               0.007426,               0.007426,               0.007426
                     29,                 1.0888,                 1.6186,                0.67599,                0.00018,                0.00319,                  9e-05,                  3e-05,                0.80957,                 1.3537,                0.38086,               0.007327,               0.007327,               0.007327
                     30,                 1.0857,                 1.6122,                0.68061,                0.00016,                0.00265,                  8e-05,                  2e-05,                0.79868,                 1.3501,                0.37335,               0.007228,               0.007228,               0.007228
                     31,                  1.074,                 1.5921,                0.66652,                0.00013,                0.00204,                  7e-05,                  2e-05,                0.78582,                 1.3435,                0.36966,               0.007129,               0.007129,               0.007129
                     32,                 1.0847,                 1.6034,                0.67497,                0.00014,                0.00221,                  7e-05,                  2e-05,                 0.7837,                 1.3375,                0.37017,                0.00703,                0.00703,                0.00703
                     33,                 1.0727,                 1.6026,                0.67256,                0.00015,                0.00221,                  8e-05,                  2e-05,                 0.7823,                 1.3324,                0.36942,               0.006931,               0.006931,               0.006931
